,,total_cases,new_cases,total_deaths,new_deaths,case_datality_rate
,,amax,sum,amax,sum,
location,month,,,,,
Afghanistan,2020-02,1.0,1.0,,0.0,
Afghanistan,2020-03,175.0,174.0,4.0,4.0,0.022857142857142857
Afghanistan,2020-04,2127.0,1952.0,64.0,60.0,0.03008932769158439
Afghanistan,2020-05,15208.0,13081.0,258.0,194.0,0.016964755391899
Afghanistan,2020-06,31507.0,16299.0,752.0,494.0,0.023867711937029867
Afghanistan,2020-07,36665.0,5158.0,1284.0,532.0,0.03501977362607391
Afghanistan,2020-08,38159.0,1494.0,1403.0,119.0,0.03676721088078828
Afghanistan,2020-09,39268.0,1109.0,1460.0,57.0,0.0371804013446063
Afghanistan,2020-10,41425.0,2157.0,1538.0,78.0,0.03712733856366928
Afghanistan,2020-11,46274.0,4849.0,1795.0,257.0,0.03879068159225483
Afghanistan,2020-12,51526.0,5252.0,2191.0,396.0,0.04252222179094049
Africa,2020-02,3.0,3.0,,0.0,
Africa,2020-03,5781.0,5778.0,200.0,200.0,0.03459609064175748
Africa,2020-04,38753.0,32972.0,1634.0,1434.0,0.04216447758883183
Africa,2020-05,146559.0,107806.0,4222.0,2588.0,0.028807510968278986
Africa,2020-06,404901.0,258342.0,10146.0,5924.0,0.025057977135151555
Africa,2020-07,928080.0,523179.0,19682.0,9536.0,0.021207223515214205
Africa,2020-08,1252235.0,324155.0,29812.0,10130.0,0.023807033024951386
Africa,2020-09,1481935.0,229700.0,35863.0,6051.0,0.024200116739263193
Africa,2020-10,1785474.0,303539.0,42853.0,6990.0,0.024000909562390715
Africa,2020-11,2174323.0,388849.0,51992.0,9139.0,0.02391181071073617
Africa,2020-12,2760459.0,586136.0,65468.0,13476.0,0.023716345723664073
Albania,2020-02,,0.0,,0.0,
Albania,2020-03,243.0,243.0,15.0,15.0,0.06172839506172839
Albania,2020-04,773.0,530.0,31.0,16.0,0.040103492884864166
Albania,2020-05,1137.0,364.0,33.0,2.0,0.029023746701846966
Albania,2020-06,2535.0,1398.0,62.0,29.0,0.02445759368836292
Albania,2020-07,5276.0,2741.0,157.0,95.0,0.029757391963608795
Albania,2020-08,9513.0,4237.0,284.0,127.0,0.02985388415851992
Albania,2020-09,13649.0,4136.0,387.0,103.0,0.028353725547659168
Albania,2020-10,20875.0,7226.0,509.0,122.0,0.02438323353293413
Albania,2020-11,38182.0,17307.0,810.0,301.0,0.0212141846943586
Albania,2020-12,58316.0,20134.0,1181.0,371.0,0.02025173194320598
Algeria,2020-02,1.0,1.0,,0.0,
Algeria,2020-03,716.0,715.0,44.0,44.0,0.061452513966480445
Algeria,2020-04,4006.0,3290.0,450.0,406.0,0.11233150274588118
Algeria,2020-05,9394.0,5388.0,653.0,203.0,0.06951245475835639
Algeria,2020-06,13907.0,4513.0,912.0,259.0,0.06557848565470627
Algeria,2020-07,30394.0,16487.0,1210.0,298.0,0.03981048891228532
Algeria,2020-08,44494.0,14100.0,1510.0,300.0,0.03393716006652582
Algeria,2020-09,51530.0,7036.0,1736.0,226.0,0.03368911313797788
